,Date,High Price,Low Price,Average Price
1,1/1/2015,40,39,39.5
2,1/2/2015,34.91666667,33.08333333,34.20333333
3,1/3/2015,34.91666667,33.08333333,34.20333333
4,1/4/2015,34.91666667,33.08333333,34.20333333
5,1/5/2015,42.125,39.98125,40.8375
6,1/6/2015,56.85,51.25,54.66666667
7,1/7/2015,56.96428571,54.10714286,55.30571429
8,1/8/2015,41.22857143,38.57142857,39.84285714
9,1/9/2015,32.63333333,31.20833333,31.74333333
10,1/10/2015,32.63333333,31.20833333,31.74333333
11,1/11/2015,32.63333333,31.20833333,31.74333333
12,1/12/2015,41.83125,39.89375,40.9625
13,1/13/2015,44.16428571,41.57857143,42.62571429
14,1/14/2015,40.1875,39.0625,39.6375
15,1/15/2015,44,41.46428571,42.53
16,1/16/2015,29.43,28.05,28.734
17,1/17/2015,29.43,28.05,28.734
18,1/18/2015,29.43,28.05,28.734
19,1/19/2015,49.7,47.5,48.345
20,1/20/2015,38.05833333,36.70833333,37.29833333
21,1/21/2015,34.75,33.33571429,34.06571429
22,1/22/2015,32.39375,31.40625,31.88875
23,1/23/2015,42.93571429,40.91428571,42.04857143
24,1/24/2015,42.93571429,40.91428571,42.04857143
25,1/25/2015,42.93571429,40.91428571,42.04857143
26,1/26/2015,43.45,40.30714286,41.68285714
27,1/27/2015,41.25,39.025,40.00166667
28,1/28/2015,36.41428571,35.02857143,35.66428571
29,1/29/2015,38.95833333,36.45833333,37.8
30,1/30/2015,47.75714286,44.07142857,45.94142857
31,1/31/2015,47.75714286,44.07142857,45.94142857
32,2/1/2015,47.75714286,44.07142857,45.94142857
33,2/2/2015,40.84375,39.05625,39.85375
34,2/3/2015,35.29166667,33.45833333,34.54166667
35,2/4/2015,41.53125,38.5625,40.14125
36,2/5/2015,37.21428571,35.5,36.42714286
37,2/6/2015,33.66428571,32.33571429,32.82142857
38,2/7/2015,33.66428571,32.33571429,32.82142857
39,2/8/2015,33.66428571,32.33571429,32.82142857
40,2/9/2015,36.89375,35.34375,36.19875
41,2/10/2015,41.5625,40.28125,41.025
42,2/11/2015,47.30625,43.5,45.7
43,2/12/2015,47.09375,43.1875,44.8675
44,2/13/2015,63.96428571,55.10714286,59.51
45,2/14/2015,63.96428571,55.10714286,59.51
46,2/15/2015,63.96428571,55.10714286,59.51
47,2/16/2015,97.28333333,88.75,93.57333333
48,2/17/2015,62.25625,56.89375,59.29125
49,2/18/2015,88.01428571,79.67857143,83.60857143
50,2/19/2015,76.4375,66.84375,71.7
51,2/20/2015,62.125,56.59375,59.32875
52,2/21/2015,62.125,56.59375,59.32875
53,2/22/2015,62.125,56.59375,59.32875
54,2/23/2015,81,74.90714286,78.49142857
55,2/24/2015,66.25,61.45714286,63.97142857
56,2/25/2015,65.56875,57.8125,61.2575
57,2/26/2015,62.66875,56.6,59.0975
58,2/27/2015,43.63125,41.55,42.525
59,2/28/2015,43.63125,41.55,42.525
,,,,
,,,,
,,,,
63,3/1/2015,43.63125,41.55,42.525
64,3/2/2015,43.66875,41.3,42.03
65,3/3/2015,38.60714286,36.58571429,37.76857143
66,3/4/2015,63.52142857,56.10714286,60.30142857
67,3/5/2015,66.46428571,60.60714286,63.70571429
68,3/6/2015,36.5,35.28571429,35.71285714
69,3/7/2015,36.5,35.28571429,35.71285714
70,3/8/2015,36.5,35.28571429,35.71285714
71,3/9/2015,32.03571429,30.82142857,31.51428571
72,3/10/2015,30.175,29.3625,29.6975
73,3/11/2015,31.15,30.16875,30.58
74,3/12/2015,32.11666667,31.08333333,31.48833333
75,3/13/2015,32.33125,31.2375,31.7175
76,3/14/2015,32.33125,31.2375,31.7175
77,3/15/2015,32.33125,31.2375,31.7175
78,3/16/2015,32.67857143,31.62857143,32.05142857
79,3/17/2015,40.18571429,38.25,39.18
80,3/18/2015,39.6875,38.54375,39.035
81,3/19/2015,36.03571429,34.11428571,35.17571429
82,3/20/2015,31.79166667,30.20833333,30.96166667
83,3/21/2015,31.79166667,30.20833333,30.96166667
84,3/22/2015,31.79166667,30.20833333,30.96166667
85,3/23/2015,35.95625,34.31875,35.36125
86,3/24/2015,31.35714286,30.32142857,30.85857143
87,3/25/2015,30.63125,29.625,30.20125
88,3/26/2015,30.675,29.375,30.0775
89,3/27/2015,30.48571429,29.55714286,29.88571429
90,3/28/2015,30.48571429,29.55714286,29.88571429
91,3/29/2015,30.48571429,29.55714286,29.88571429
92,3/30/2015,33.11428571,29.85714286,31.44142857
93,3/31/2015,29.9375,28.5625,29.255
94,4/1/2015,28.94285714,28.19285714,28.66857143
95,4/2/2015,27.64375,26.94375,27.24875
96,4/3/2015,27.64375,26.94375,27.24875
97,4/4/2015,27.64375,26.94375,27.24875
98,4/5/2015,27.64375,26.94375,27.24875
99,4/6/2015,29.91428571,28.33571429,29.30857143
100,4/7/2015,33.40625,31.65,32.48625
101,4/8/2015,31.40625,30.15625,30.86875
102,4/9/2015,30.10714286,27.42857143,28.31142857
103,4/10/2015,29.16666667,28.16666667,28.71666667
104,4/11/2015,29.16666667,28.16666667,28.71666667
105,4/12/2015,29.16666667,28.16666667,28.71666667
106,4/13/2015,28.14285714,26.96428571,27.63
107,4/14/2015,29.78571429,28.42857143,29.31428571
108,4/15/2015,29.39375,28.6875,29.0725
109,4/16/2015,29.35714286,28.64285714,29.05142857
110,4/17/2015,30.46428571,29.44285714,29.84285714
111,4/18/2015,30.46428571,29.44285714,29.84285714
112,4/19/2015,30.46428571,29.44285714,29.84285714
113,4/20/2015,30.34375,29.125,29.72125
114,4/21/2015,29.9,29.19375,29.63375
115,4/22/2015,30.75,29.63333333,30.15166667
116,4/23/2015,30.53125,28.1875,28.96375
117,4/24/2015,31.78571429,30.61428571,31.01
118,4/25/2015,31.78571429,30.61428571,31.01
119,4/26/2015,31.78571429,30.61428571,31.01
120,4/27/2015,29.74285714,28.70714286,29.12142857
121,4/28/2015,29.42857143,28.71428571,29.05571429
122,4/29/2015,31.19375,30.13125,30.56375
123,4/30/2015,27.65714286,26.39285714,26.80857143
,,,,
125,5/1/2015,33.03125,31.66875,32.395
126,5/2/2015,33.03125,31.66875,32.395
127,5/3/2015,33.03125,31.66875,32.395
128,5/4/2015,32.875,31.0625,31.8225
129,5/5/2015,33.0625,31.14375,32
130,5/6/2015,34.35714286,32.59285714,33.47714286
131,5/7/2015,34.63571429,33.39285714,34.12
132,5/8/2015,39.68125,37.6125,38.7
133,5/9/2015,39.68125,37.6125,38.7
134,5/10/2015,39.68125,37.6125,38.7
135,5/11/2015,38.16875,35.65,36.62875
136,5/12/2015,30.18125,29.3,29.7575
137,5/13/2015,29.56428571,28.46428571,29.00428571
138,5/14/2015,29.5625,28.20625,28.88125
139,5/15/2015,34.125,32.16666667,33.195
140,5/16/2015,34.125,32.16666667,33.195
141,5/17/2015,34.125,32.16666667,33.195
142,5/18/2015,33.56875,32.8125,33.175
143,5/19/2015,30.62857143,29.67857143,30.11571429
144,5/20/2015,27.83333333,26.23333333,27.03166667
145,5/21/2015,24.78333333,23.46666667,23.99166667
146,5/22/2015,40.21428571,38.39285714,39.42142857
147,5/23/2015,40.21428571,38.39285714,39.42142857
148,5/24/2015,40.21428571,38.39285714,39.42142857
149,5/25/2015,40.21428571,38.39285714,39.42142857
150,5/26/2015,35.22142857,32.89285714,34.34571429
151,5/27/2015,35.35,33.80625,34.28375
152,5/28/2015,30.90714286,29.03571429,29.81142857
153,5/29/2015,29.125,28,28.58875
154,5/30/2015,29.125,28,28.58875
155,5/31/2015,29.125,28,28.58875
156,6/1/2015,25.91666667,24.93333333,25.25833333
157,6/2/2015,27.3,26.0625,26.64125
158,6/3/2015,26.84375,26,26.455
159,6/4/2015,27.40625,26.24375,26.885
160,6/5/2015,31.53571429,30.17857143,30.79285714
161,6/6/2015,31.53571429,30.17857143,30.79285714
162,6/7/2015,31.53571429,30.17857143,30.79285714
163,6/8/2015,33.925,32.08125,32.83375
164,6/9/2015,36.03125,33.5125,34.215
165,6/10/2015,37.0625,35.125,35.95
166,6/11/2015,36.0625,34.5625,35.40625
167,6/12/2015,38.51666667,34.4,35.55
168,6/13/2015,38.51666667,34.4,35.55
169,6/14/2015,38.51666667,34.4,35.55
170,6/15/2015,38.79166667,35.98333333,36.97666667
171,6/16/2015,34.35714286,32.10714286,32.97714286
172,6/17/2015,37.70833333,34.925,36.88333333
173,6/18/2015,34.19375,33.0625,33.72
174,6/19/2015,38.98571429,36.5,38.12571429
175,6/20/2015,38.98571429,36.5,38.12571429
176,6/21/2015,38.98571429,36.5,38.12571429
177,6/22/2015,43.95,41.28571429,42.64714286
178,6/23/2015,40.14285714,37.85714286,39.21428571
179,6/24/2015,42.00714286,38.25,40.36571429
180,6/25/2015,41.25,38.28125,39.75625
181,6/26/2015,46.16,41.95,43.818
182,6/27/2015,46.16,41.95,43.818
183,6/28/2015,46.16,41.95,43.818
184,6/29/2015,42.625,39.40625,40.31875
185,6/30/2015,59.96875,45.94375,51.5225
,,,,
187,7/1/2015,52.28571429,44.25,47.88285714
188,7/2/2015,38.3,35.35714286,36.88428571
189,7/3/2015,37.25,36,36.56
190,7/4/2015,37.25,36,36.56
191,7/5/2015,37.25,36,36.56
192,7/6/2015,38,36.23571429,37.10285714
193,7/7/2015,34.53571429,33.53571429,33.95285714
194,7/8/2015,32.49,30.7,31.476
195,7/9/2015,29.8,28.7875,29.16625
196,7/10/2015,35.875,34.625,35.26875
197,7/11/2015,35.875,34.625,35.26875
198,7/12/2015,35.875,34.625,35.26875
199,7/13/2015,34.54285714,33.11428571,34.03571429
200,7/14/2015,34.5,33.13125,33.98
201,7/15/2015,34.14285714,32.57142857,33.22428571
202,7/16/2015,35.35714286,33.39285714,34.25
203,7/17/2015,40.61428571,39.21428571,39.98285714
204,7/18/2015,40.61428571,39.21428571,39.98285714
205,7/19/2015,40.61428571,39.21428571,39.98285714
206,7/20/2015,38.07142857,36.46428571,37.13142857
207,7/21/2015,33.48571429,32.18571429,32.62428571
208,7/22/2015,32.3125,31.25,31.70625
209,7/23/2015,33.85,32.30625,33.20125
210,7/24/2015,38.46428571,37.53571429,37.99857143
211,7/25/2015,38.46428571,37.53571429,37.99857143
212,7/26/2015,38.46428571,37.53571429,37.99857143
213,7/27/2015,44.57142857,42.14285714,43.24285714
214,7/28/2015,51.46875,48.29375,49.84
215,7/29/2015,51.4375,47.34375,49.1825
216,7/30/2015,39.3,37.34375,38.37
217,7/31/2015,42.75,40.78571429,41.59714286
218,8/1/2015,42.75,40.78571429,41.59714286
219,8/2/2015,42.75,40.78571429,41.59714286
220,8/3/2015,38.79166667,35.41666667,36.685
221,8/4/2015,36.3125,34.6875,35.53125
222,8/5/2015,39.65,36.53333333,38.07
223,8/6/2015,51.71428571,50.85714286,51.34571429
224,8/7/2015,34.57142857,32.85714286,33.95142857
225,8/8/2015,34.57142857,32.85714286,33.95142857
226,8/9/2015,34.57142857,32.85714286,33.95142857
227,8/10/2015,37.52142857,34.75,35.83142857
228,8/11/2015,38.525,36.91666667,37.68833333
229,8/12/2015,38.43571429,37,37.76857143
230,8/13/2015,48.42857143,43.77142857,45.97142857
231,8/14/2015,46.90625,45.15625,45.88
232,8/15/2015,46.90625,45.15625,45.88
233,8/16/2015,46.90625,45.15625,45.88
234,8/17/2015,44.77142857,42.4,43.58714286
235,8/18/2015,38.03571429,36.09285714,37.24857143
236,8/19/2015,33.475,32.125,32.8
237,8/20/2015,31.4,30.41428571,30.95714286
238,8/21/2015,36.78571429,35,35.82428571
239,8/22/2015,36.78571429,35,35.82428571
240,8/23/2015,36.78571429,35,35.82428571
241,8/24/2015,34.89285714,34.22857143,34.52857143
242,8/25/2015,34.60714286,33.57142857,34.08428571
243,8/26/2015,35.875,34.70833333,35.18833333
244,8/27/2015,33.25,31.83333333,32.495
245,8/28/2015,37.82142857,36.5,37.16571429
246,8/29/2015,37.82142857,36.5,37.16571429
247,8/30/2015,37.82142857,36.5,37.16571429
248,8/31/2015,37.37857143,35.98571429,36.81714286
249,9/1/2015,39.3375,37.98125,38.6575
250,9/2/2015,38.34285714,36.43571429,37.11428571
251,9/3/2015,31.04166667,29.875,30.57
252,9/4/2015,37.35714286,35.85714286,36.49428571
253,9/5/2015,37.35714286,35.85714286,36.49428571
254,9/6/2015,37.35714286,35.85714286,36.49428571
255,9/7/2015,37.35714286,35.85714286,36.49428571
256,9/8/2015,44.1375,41.46875,42.5375
257,9/9/2015,40.175,38.64375,39.2925
258,9/10/2015,34.48333333,32.58333333,33.24333333
259,9/11/2015,32.33333333,30.375,31.33666667
260,9/12/2015,32.33333333,30.375,31.33666667
261,9/13/2015,32.33333333,30.375,31.33666667
262,9/14/2015,30.67857143,29.54285714,30.15571429
263,9/15/2015,32.24285714,31.23571429,31.73714286
264,9/16/2015,33.525,32.9625,33.195
265,9/17/2015,35.76875,34.425,35.11125
266,9/18/2015,35.5,34.49285714,34.95714286
267,9/19/2015,35.5,34.49285714,34.95714286
268,9/20/2015,35.5,34.49285714,34.95714286
269,9/21/2015,30.78571429,29.91428571,30.38428571
270,9/22/2015,31.65,30.9,31.20333333
271,9/23/2015,32.46428571,31.98571429,32.20285714
272,9/24/2015,30.1,29.625,29.79333333
273,9/25/2015,31.94285714,30.48571429,30.96714286
274,9/26/2015,31.94285714,30.48571429,30.96714286
275,9/27/2015,31.94285714,30.48571429,30.96714286
276,9/28/2015,32.29166667,31.125,31.77833333
277,9/29/2015,32.62142857,31.32142857,31.86571429
278,9/30/2015,30.8875,29.4,29.97875
,,,,
280,10/1/2015,28.84375,27.58125,28.09
281,10/2/2015,30,29.35833333,29.74
282,10/3/2015,30,29.35833333,29.74
283,10/4/2015,30,29.35833333,29.74
284,10/5/2015,31.12857143,30.12142857,30.57142857
285,10/6/2015,30.32142857,29.53571429,30.00714286
286,10/7/2015,32.56875,31.96875,32.355
287,10/8/2015,34.17857143,32.53571429,33.24
288,10/9/2015,36.53571429,35.64285714,36.13142857
289,10/10/2015,36.53571429,35.64285714,36.13142857
290,10/11/2015,36.53571429,35.64285714,36.13142857
291,10/12/2015,36.21428571,34.89285714,35.52428571
292,10/13/2015,35.45625,33.675,34.69
293,10/14/2015,33.05,31.95,32.51285714
294,10/15/2015,32.04166667,31.04166667,31.47166667
295,10/16/2015,32.74285714,31.99285714,32.31428571
296,10/17/2015,32.74285714,31.99285714,32.31428571
297,10/18/2015,32.74285714,31.99285714,32.31428571
298,10/19/2015,32.89285714,32.18571429,32.63428571
299,10/20/2015,31.35,30.82142857,31.05428571
300,10/21/2015,30.875,30.38333333,30.64833333
301,10/22/2015,33.125,31.125,31.955
302,10/23/2015,36.91666667,35.60833333,36.39666667
303,10/24/2015,36.91666667,35.60833333,36.39666667
304,10/25/2015,36.91666667,35.60833333,36.39666667
305,10/26/2015,33.8,33.05,33.45875
306,10/27/2015,32.38125,31.46875,32.00625
307,10/28/2015,31.25,30.125,30.7325
308,10/29/2015,30.48571429,29.45,29.92714286
309,10/30/2015,27.60714286,27.03571429,27.37857143
310,10/31/2015,27.60714286,27.03571429,27.37857143
311,11/1/2015,27.60714286,27.03571429,27.37857143
312,11/2/2015,29.975,28.9125,29.4125
313,11/3/2015,31.71428571,30.72857143,30.98142857
314,11/4/2015,30.0625,29.14375,29.68625
315,11/5/2015,29.87857143,29.02857143,29.44142857
316,11/6/2015,33,32.04166667,32.51833333
317,11/7/2015,33,32.04166667,32.51833333
318,11/8/2015,33,32.04166667,32.51833333
319,11/9/2015,30.32142857,28.35714286,29.07285714
320,11/10/2015,28.82142857,28.12857143,28.36714286
321,11/11/2015,29,28.4375,28.755
322,11/12/2015,26.625,25.75,26.11666667
323,11/13/2015,25.35,24.7,24.954
324,11/14/2015,25.35,24.7,24.954
325,11/15/2015,25.35,24.7,24.954
326,11/16/2015,26,24.78571429,25.16
327,11/17/2015,26.09375,25.5,25.79
328,11/18/2015,26.78571429,25.65,26.14714286
329,11/19/2015,26.64285714,25.65714286,26.19714286
330,11/20/2015,31.19166667,29.83333333,30.71666667
331,11/21/2015,31.19166667,29.83333333,30.71666667
332,11/22/2015,31.19166667,29.83333333,30.71666667
333,11/23/2015,28.34375,27.5,27.91125
334,11/24/2015,26.49,24.85,25.678
335,11/25/2015,25.35,24.5,24.852
336,11/26/2015,25.35,24.5,24.852
337,11/27/2015,36.25,36,36.075
338,11/28/2015,36.25,36,36.075
339,11/29/2015,36.25,36,36.075
340,11/30/2015,30.34375,28.89375,29.73
,,,,
342,12/1/2015,27.46428571,25.96428571,26.68285714
343,12/2/2015,27.85714286,26.57142857,27.21428571
344,12/3/2015,26.1875,25.5,25.87125
345,12/4/2015,26.42857143,25.28571429,26.01285714
346,12/5/2015,26.42857143,25.28571429,26.01285714
347,12/6/2015,26.42857143,25.28571429,26.01285714
348,12/7/2015,26.15,24.89285714,25.67857143
349,12/8/2015,24.9125,24.125,24.59875
350,12/9/2015,23.58571429,22.8,23.26714286
351,12/10/2015,21.75833333,21,21.39333333
352,12/11/2015,24.35833333,23.125,23.66
353,12/12/2015,24.35833333,23.125,23.66
354,12/13/2015,24.35833333,23.125,23.66
355,12/14/2015,23.39285714,22.65,22.96
356,12/15/2015,26.27142857,24.98571429,25.59428571
357,12/16/2015,26.89285714,26.10714286,26.60142857
358,12/17/2015,25.6,24.55,25.148
359,12/18/2015,24.95833333,24.08333333,24.605
360,12/19/2015,24.95833333,24.08333333,24.605
361,12/20/2015,24.95833333,24.08333333,24.605
362,12/21/2015,23.17857143,22.20714286,22.68714286
363,12/22/2015,22.50714286,21.57142857,22.07571429
364,12/23/2015,21.11666667,20.33333333,20.60166667
365,12/24/2015,31.875,31.25,31.6
366,12/25/2015,31.875,31.25,31.6
367,12/26/2015,31.875,31.25,31.6
368,12/27/2015,31.875,31.25,31.6
369,12/28/2015,31.03125,29.40625,30.32625
370,12/29/2015,31.75,30,30.81
371,12/30/2015,29.88888889,28.27777778,29.10111111
372,12/31/2015,37.11428571,34.62857143,35.47857143
373,1/1/2016,37.11428571,34.62857143,35.47857143
374,1/2/2016,37.11428571,34.62857143,35.47857143
375,1/3/2016,37.11428571,34.62857143,35.47857143
376,1/4/2016,35.23571429,34.02857143,34.62142857
377,1/5/2016,31.92857143,30.97857143,31.39857143
378,1/6/2016,29.5,28.21428571,28.87142857
379,1/7/2016,27.79166667,26.875,27.35333333
380,1/8/2016,33.67857143,32.12857143,33.17571429
381,1/9/2016,33.67857143,32.12857143,33.17571429
382,1/10/2016,33.67857143,32.12857143,33.17571429
383,1/11/2016,32.41875,31.5375,31.95875
384,1/12/2016,32.65625,31,31.75625
